name,type,sedol,bidPrice,askPrice,netIC,netAC
Aberdeen Glb Sel Glb Inv Grd Credit Bond (A2 GBP) (Inclusive Accumulation),Accumulation,B0L13G8,,,,
Aberdeen Global Euro Short Term Bond (A EUR) (Accumulation),Accumulation,B685R96,,,,
Aberdeen Global Euro Short Term Bond (A EUR) (Income),Income,B5VVRK5,,,,
Aberdeen Property Trust (Class B) (Accumulation),Accumulation,B61F6S5,,,,
Aberdeen Property Trust (Class B) (Income),Income,B615TZ3,,,,
Aberdeen Property Trust (Inclusive Accumulation),Accumulation,B036Z65,,,,
Aberdeen Property Trust (Inclusive Income),Income,B036Z32,,,,
Aberdeen Standard Global Innovation Equity (Accumulation),Accumulation,B8HTXL7,2958.81,2958.81,0,0.94
Aberdeen Standard Global Innovation Equity (Inclusive Accumulation),Accumulation,B0L10T0,610.15,610.15,0,0.94
Aberdeen Standard OEIC II Global Income Equity (Inclusive Accumulation),Accumulation,B6Z39T7,130.5,130.5,0,0.9
Aberdeen Standard OEIC II Global Income Equity (Inclusive Income),Income,B5LXY77,96.26,96.26,0,0.9
Aberdeen Standard SICAV 1 American Focused Eq (Inclusive Accumulation),Accumulation,B0L0YV7,3277.88,3277.88,0,0.94
Aberdeen Standard SICAV I All China Equity (X GBP) (Accumulation),Accumulation,B7VZVD2,1602.78,1602.78,0,1.23
Aberdeen Standard SICAV I American Focused Equity (Accumulation),Accumulation,B706Y37,3181.7,3181.7,0,0.94
Aberdeen Standard SICAV I Artificial Int Glob Equ (Accumulation),Accumulation,BF7NYS2,1021.2,1021.2,0,0.7
Aberdeen Standard SICAV I Asia Pacific Eq (A GBP) (Inclusive Accumulation),Accumulation,B0L0Z25,7298.8,7298.8,0,1.24
Aberdeen Standard SICAV I Asia Pacific Eq (X GBP) (Accumulation),Accumulation,B7M3B91,1797.51,1797.51,0,1.24
Aberdeen Standard SICAV I Asian LC Short Term Bnd (Accumulation),Accumulation,B8N34N2,1388.05,1388.05,0,0.71
Aberdeen Standard SICAV I Asian Smaller Companies (Accumulation),Accumulation,B8GQ580,1597.5,1597.5,0,1.39
Aberdeen Standard SICAV I Asian Smaller Companies (Inclusive Accumulation),Accumulation,B0L11L9,3920.93,3920.93,0,1.39
Aberdeen Standard SICAV I Brazil Bond (Accumulation),Accumulation,B7LNPV2,,,,
Aberdeen Standard SICAV I Brazil Bond (Income),Income,B7MBB95,,,,
Aberdeen Standard SICAV I Emerging Markets Equity (Accumulation),Accumulation,B7884X5,1443.68,1443.68,0,1.28
Aberdeen Standard SICAV I Emerging Markets Equity (Inclusive Accumulation),Accumulation,7178416,5524.23,5524.23,0,1.28
Aberdeen Standard SICAV I Emerging Markets Equity (Inclusive Accumulation),Accumulation,B0L0ZR0,5552.4,5552.4,0,1.28
Aberdeen Standard SICAV I Emerging Mkts Sm Cos (Accumulation),Accumulation,B7C4L50,1633.83,1633.83,0,1.42
Aberdeen Standard SICAV I Emerging Mkts Sm Cos (Inclusive Accumulation),Accumulation,B1KR6C1,1713.8,1713.8,0,1.42
Aberdeen Standard SICAV I Euro High Yield Bond (Income),Income,B709ZQ6,961.04,961.04,0,0.89
Aberdeen Standard SICAV I Frontier Markets Bond (Accumulation),Accumulation,BHZK9G2,1155.78,1155.78,0,1.29
Aberdeen Standard SICAV I Global Mid-Cap Equity (Accumulation),Accumulation,BLCVQN2,1170.78,1170.78,0,0.99
Aberdeen Standard SICAV I Global Mid-Cap Equity (Accumulation),Accumulation,BM97K50,1327.38,1327.38,0,1.03
Aberdeen Standard SICAV I Indian Bond (Accumulation),Accumulation,BF0J197,1109.29,1109.29,0,0.8
Aberdeen Standard SICAV I Indian Bond (Income),Income,BF0J186,844.6,844.6,0,0.8
Aberdeen Standard SICAV I Indian Equity (Accumulation),Accumulation,B7LS8L8,2578.05,2578.05,0,1.31
Aberdeen Standard SICAV I Indian Equity (Accumulation),Accumulation,B8HPG05,1605.18,1605.18,0,1.31
Aberdeen Standard SICAV I Indian Equity (Inclusive Accumulation),Accumulation,B0L1302,14511.56,14511.56,0,1.31
Aberdeen Standard SICAV I Japanese Smaller Cos (Accumulation),Accumulation,B7LCDW6,2405.5,2405.5,0,0.93
Aberdeen Standard SICAV I Listed Private Capital F (Accumulation),Accumulation,BNYF023,1009.56,1009.56,0,0.83
Aberdeen Standard SICAV I World Credit Bd (Accumulation),Accumulation,BYTBQT2,1104.94,1104.94,0,0.69
Aberdeen Standard SICAV I World Credit Bond (Income),Income,BYTBQS1,952.84,952.84,0,0.69
Aberdeen Standard SICAV UK Equity (Income),Income,B8HQY59,1363.96,1363.96,0,0.94
Aberdeen UK Property (Class I Feeder) (Accumulation),Accumulation,BTLX1P2,,,,
Aberdeen UK Property (Class I Feeder) (Income),Income,BTLX1Q3,,,,
Aberdeen UK Property (Class I PAIF) (Accumulation),Accumulation,BTLX1F2,,,,
Aberdeen UK Property (Class I PAIF) (Income),Income,BTLX1G3,,,,
Aberdeen UK Property (Feeder) (Inclusive Accumulation),Accumulation,BTLX1M9,,,,
Aberdeen UK Property (Feeder) (Inclusive Income),Income,BTLX1N0,,,,
Aberdeen UK Property (PAIF) (Inclusive Accumulation),Accumulation,BTLX1C9,,,,
Aberdeen UK Property (PAIF) (Inclusive Income),Income,BTLX1D0,,,,
Aberforth UK Small Companies (Accumulation),Accumulation,0007272,28732,29375,0,0.77
Aberforth UK Small Companies (Income),Income,B2N9GS7,20068,20517,0,0.77
Abrdn SICAV I All China Sustainable Equity (A GBP) (Inclusive Accumulation),Accumulation,B0L11W0,2214.79,2214.79,0,1.23
Abrdn SICAV I Global Sustainable Equity (Accumulation),Accumulation,B8NB8X4,1951.19,1951.19,0,1.14
Abrdn SICAV I Global Sustainable Equity (Inclusive Accumulation),Accumulation,B0L1197,1817.27,1817.27,0,0.89
Abrdn SICAV I Japanese Smaller Cos Sustainable Equ (Inclusive Accumulation),Accumulation,B1KR751,1020.13,1020.13,0,0.93
Abrdn SICAV I UK Sustainable Equity (Inclusive Income),Income,B0L1108,2131.46,2131.46,0,0.94
Absolute Insight Fund (AP GBP) (Inclusive Accumulation),Accumulation,B5MF4S3,110.02,110.02,0,0.99
Absolute Insight Fund (W GBP) (Accumulation),Accumulation,B89QJK7,103.54,103.54,0,0.92
Acumen Income Portfolio (Accumulation),Accumulation,BYW8MW5,133.82,133.82,0,1.31
Acumen Portfolio 3 (Accumulation),Accumulation,BZ3T3D2,95.85,95.85,0,1.12
Acumen Portfolio 4 (Accumulation),Accumulation,B84LZT8,138.72,138.72,0,1.05
Acumen Portfolio 5 (Accumulation),Accumulation,B87LP73,154.49,154.49,0,1.06
Acumen Portfolio 6 (Accumulation),Accumulation,B7NJ0M4,163.19,163.19,0,1.07
Acumen Portfolio 7 (Accumulation),Accumulation,BZ3T3H6,133.43,133.43,0,1.11
Acumen Portfolio 8 (Accumulation),Accumulation,BZ3T3L0,133.53,133.53,0,1.18
Aegon Absolute Return Bond (Class B) (Accumulation),Accumulation,B6SPX87,1159.26,1159.26,0,0.33
Aegon Absolute Return Bond (Class B) (Income),Income,B4QJCV3,984.03,984.03,0,0.33
Aegon Diversified Monthly Income (Class B) (Accumulation),Accumulation,BJFLQY6,157.67,157.67,0,0.58
Aegon Diversified Monthly Income (Class B) (Income),Income,BJFLR10,103.99,103.99,0,0.58
Aegon Ethical Cautious Managed (Class B) (Accumulation),Accumulation,B7V2CD0,139.01,139.01,0,0.78
Aegon Ethical Cautious Managed (Class B) (Income),Income,B7TCPG6,117.38,117.38,0,0.78
Aegon Ethical Corporate Bond (Class B) (Accumulation),Accumulation,B018K35,196.83,196.83,0,0.48
Aegon Ethical Corporate Bond (Class B) (Income),Income,B0C4RP3,96.01,96.01,0,0.48
Aegon Ethical Equity (Class B) (Accumulation),Accumulation,0745088,238.59,238.59,0,0.62
Aegon Ethical Equity (Class B) (Income),Income,B8FZHY8,160.8,160.8,0,0.62
Aegon Global Equity Income (Class B) (Accumulation),Accumulation,BF5SVX3,2443.46,2443.46,0,0.84
Aegon Global Equity Income (Income),Income,BF5SW30,1936.72,1936.72,0,0.64
Aegon Global Equity Market Neutral (Accumulation),Accumulation,BYZHZV9,1221.88,1221.88,0,1.16
Aegon Global Sustainable Equity (Accumulation),Accumulation,BYZJ344,2230.22,2230.22,0,0.81
Aegon High Yield Bond (Class B) (Accumulation),Accumulation,3142556,312.28,312.28,0,0.6
Aegon High Yield Bond (Class B) (Income),Income,B1N9DY5,88.97,88.97,0,0.6
Aegon High Yield Global Bond (Class B) (Income),Income,B296WQ2,999.67,999.67,0,0.76
Aegon Investment Grade Bond Class B (Accumulation),Accumulation,B141C76,195.57,195.57,0,0.53
Aegon Investment Grade Bond Class B (Income),Income,B142F70,116.41,116.41,0,0.53
Aegon Short Dated High Yield Global Bond (Accumulation),Accumulation,BDCVTF9,,,,
Aegon Short Dated High Yield Global Bond (Income),Income,BDCVTG0,,,,
Aegon Sterling Corporate Bond (Class B) (Accumulation),Accumulation,0745163,86.33,86.33,0,0.4
Aegon Sterling Corporate Bond (Class B) (Income),Income,3159987,30.79,30.79,0,0.4
Aegon Sterling Corporate Bond (Class S) (Income),Income,BF0W2Q0,91.6,91.6,0,0.3
Aegon Sterling Property Income Feeder (Class B) (Accumulation),Accumulation,BK6MJG8,,,,
Aegon Sterling Property Income Feeder (Class B) (Income),Income,BK6MJH9,,,,
Aegon Sterling Property Income PAIF Net (Class B) (Accumulation),Accumulation,BK6MJD5,,,,
Aegon Sterling Property Income PAIF Net (Class B) (Income),Income,BK6MJF7,,,,
Aegon Strategic Bond (Class B) (Accumulation),Accumulation,B3ZLQW2,145.39,145.39,0,0.58
Aegon Strategic Bond (Class B) (Income),Income,B00MY36,131.85,131.85,0,0.58
Aegon Sustainable Diversified Growth (Class B) (Accumulation),Accumulation,B625LX4,180.03,180.03,0,0.53
Aegon Sustainable Equity (Class B) (Accumulation),Accumulation,0727451,250.47,250.47,0,0.81
Aegon UK Equity (Class B) (Accumulation),Accumulation,0745141,352.58,352.58,0,0.65
Aegon UK Equity (Class B) (Income),Income,3052268,1527.63,1527.63,0,0.65
Aegon UK Equity Absolute Return (Class B) (Accumulation),Accumulation,B4XS804,126.02,126.02,0,0.88
Aegon UK Opportunities (Class B) (Accumulation),Accumulation,B1N9DS9,231.42,231.42,0,0.78
Aegon UK Smaller Companies (Class B) (Accumulation),Accumulation,B142FS1,417.11,417.11,0,0.78
Algebris Financial Credit (Class I) (Accumulation),Accumulation,B85LPZ3,14997,14997,0,0.58
Algebris Financial Credit (Class I) (Income),Income,B8DD4P4,11036,11036,0,0.58
Algebris Financial Equity (Class I) (Accumulation),Accumulation,BWY5703,12933,12933,0,1.02
Algebris Financial Income (Class I) (Accumulation),Accumulation,BCZNWW3,12374,12374,0,1.01
Algebris Financial Income (Class I) (Income),Income,BCZNX08,11943,11943,0,1.01
Algebris Global Credit Opportunities (Class I) (Accumulation),Accumulation,BYT35N5,11858,11858,0,1.04
Algebris Global Credit Opportunities (Class I) (Income),Income,BYT35P7,10769,10769,0,1.04
Alliance Trust Monthly Income Bond (Class B) (Accumulation),Accumulation,B3S2PZ8,,,,
Alliance Trust Monthly Income Bond (Class B) (Income),Income,B3X2MZ2,,,,
Allianz Best Styles Global AC Equity (Class C) (Accumulation),Accumulation,BYQ91X8,203.19,203.19,0,0.32
Allianz China A-Shares Equity (Class C) (Accumulation),Accumulation,BMG9ZY3,98.08,98.08,0,1.1
Allianz Continental European (Class C) (Accumulation),Accumulation,B3Q8YX9,280.78,280.78,0,0.79
Allianz Emerging Markets Equity (Class C) (Accumulation),Accumulation,B0WDH83,273.2,273.2,0,0.97
Allianz Europe Equity Growth (Class P) (Accumulation),Accumulation,BTHH6R5,177789.27,177789.27,0,1
Allianz Europe Equity Growth (Class P) (Income),Income,B80GXH1,217125.66,217125.66,0,1
Allianz Food Security  (P GBP) (Income),Income,BN6RFL1,92961,92961,0,1.08
Allianz German Equity (Income),Income,B8XT720,,,,
Allianz Gilt Yield (Class I) (Income),Income,3138339,174.29,174.29,0,0.32
Allianz Global Agricultural Trends (P GBP) (Income),Income,B74FK65,,,,
Allianz Global Artificial Intelligence (Accumulation),Accumulation,BDHSN20,231982,231982,0,1.13
Allianz Income & Growth (H2 GBP) (Income),Income,BRB37L6,785,816,0,0.925
Allianz RiskMaster Conservative Multi Asset (C) (Accumulation),Accumulation,B7V78Q0,155.65,155.65,0,0.99
Allianz RiskMaster Growth Multi Asset (Class C) (Accumulation),Accumulation,B7V79R8,189.92,189.92,0,0.99
Allianz RiskMaster Moderate Multi Asset (Class C) (Accumulation),Accumulation,B7V78Y8,172.3,172.3,0,0.99
Allianz Strategic Bond (Class C) (Income),Income,B06T936,174.73,174.73,0,0.64
Allianz Total Return Asian Equity (Class A) (Inclusive Accumulation),Accumulation,3138425,,,,
Allianz Total Return Asian Equity (Class C) (Accumulation),Accumulation,BVYJ2G9,205.36,205.36,0,0.87
Allianz Total Return Asian Equity (Class C) (Income),Income,B1FRQV5,1011.67,1011.67,0,0.87
Allianz UK Listed Equity Income (Class C) (Accumulation),Accumulation,BP5X398,107.32,107.32,0,0.77
Allianz UK Listed Equity Income (Class C) (Income),Income,B82ZGC2,126.69,126.69,0,0.77
Allianz UK Listed Opportunities (Class C) (Accumulation),Accumulation,B8BB944,196.75,196.75,0,0.84
Allianz UK Mid-Cap (Class C) (Accumulation),Accumulation,B83YTF2,5257.59,5257.59,0,0.85
Allianz UK Unconstrained (Class A) (Inclusive Accumulation),Accumulation,B00NKG4,,,,
Allianz UK Unconstrained (Class C) (Accumulation),Accumulation,B8NC2Z7,,,,
Allianz US Equity (Class C) (Accumulation),Accumulation,B4N1GS7,421.99,421.99,0,0.9
Alquity Africa (A) (Inclusive Accumulation),Accumulation,B41RCX4,8411,8411,0,2.58
Alquity Africa (Y) (Accumulation),Accumulation,B7KX438,9663,9663,0,2.55
Alquity Asia (R) (Accumulation),Accumulation,BLBN725,,,,
Alquity Asia (Y) (Accumulation),Accumulation,BTJRGR3,14144,14144,0,1.55
Alquity Future World (R) (Accumulation),Accumulation,BLDYYN6,10771,10771,0,3
Alquity Future World (Y) (Accumulation),Accumulation,BTJRGT5,10510,10510,0,1.55
Alquity Future World Global Impact (R) (Accumulation),Accumulation,BLBN714,10183,10183,0,3
Alquity Future World Global Impact (S) (Accumulation),Accumulation,BLDYYB4,10706,10706,0,0.49
Alquity Indian Subcontinent (Y) (Accumulation),Accumulation,BTJRGS4,22042,22042,0,1.55
Apollo Balanced (Accumulation),Accumulation,B3FPF27,182.31,182.31,0,1.47
Apollo Balanced (Inclusive Accumulation),Accumulation,B3FPDZ6,,,,
Apollo Cautious (Class A) (Inclusive Accumulation),Accumulation,B3FPDT0,,,,
Apollo Cautious (Class D) (Accumulation),Accumulation,B3FPDY5,175.11,175.11,0,1.47
Architas MA Active Dynamic (Class A) (Accumulation),Accumulation,B6ZRLF9,,,,
Architas MA Active Reserve Class A (Accumulation),Accumulation,B84QFC6,,,,
Architas MA Active Reserve Class A (Income),Income,B84PSB3,,,,
Architas MA Blended Moderate (A) (Accumulation),Accumulation,B85L1G6,,,,
Architas MA Blended Moderate (A) (Income),Income,B8MGPL7,,,,
Architas MA Blended Progressive (A) (Accumulation),Accumulation,B8JY536,,,,
Architas MA Blended Reserve (A) (Accumulation),Accumulation,B8BMB18,,,,
Architas MA Blended Reserve (A) (Income),Income,B7VR086,,,,
Architas MA Passive Dynamic (Class A) (Inclusive Accumulation),Accumulation,B7XRTZ4,,,,
Architas MA Passive Dynamic (Class D) (Accumulation),Accumulation,BNGNDL5,,,,
Architas MA Passive Growth (D) (Accumulation),Accumulation,BNGNDK4,,,,
Architas MA Passive Moderate (Class D) (Accumulation),Accumulation,BNGNDG0,,,,
Architas MA Passive Moderate (Class D) (Income),Income,BWWCYY9,,,,
Architas MA Passive Progressive (D) (Accumulation),Accumulation,BNGNDJ3,,,,
Architas MA Passive Prudent (Class D) (Accumulation),Accumulation,BNGNDM6,,,,
Artemis Corporate Bond (Class I) (Accumulation),Accumulation,BFZ91W5,103.6,103.6,0,0.32
Artemis Corporate Bond (Class I) (Income),Income,BKPWGV3,96.77,96.77,0,0.32
Artemis European Sustainable Growth (Class I) (Accumulation),Accumulation,B6WFCR5,114.95,114.95,0,0.78
Artemis European Sustainable Growth (Class I) (Income),Income,B6WFCT7,99.58,99.58,0,0.78
Artemis Global Income (Class I) (Accumulation),Accumulation,B5ZX1M7,177.63,177.63,0,0.6
Artemis Global Income (Class I) (Income),Income,B5N9956,116.74,116.74,0,0.6
Artemis Global Income (Retail) (Inclusive Accumulation),Accumulation,B5V2MP8,162.61,162.61,0,0.6
Artemis Global Income (Retail) (Inclusive Income),Income,B5VLFH8,106.76,106.76,0,0.6
Artemis Global Select (Class I) (Accumulation),Accumulation,B568S20,165.57,165.57,0,0.8
Artemis Global Select (Retail) (Inclusive Accumulation),Accumulation,B5QKCK2,152.52,152.52,0,0.8
Artemis High Income (Class I Monthly) (Income),Income,BJT0KR0,73.19,73.19,0,0.56
Artemis High Income (Class I Quarterly) (Accumulation),Accumulation,BJMD6R8,106.89,106.89,0,0.59
Artemis High Income (Class I Quarterly) (Income),Income,B2PLJN7,73.15,73.15,0,0.56
